amount,merchant,description,label
312.14,Amazon,Theory rich speech.,normal
659.08,Netflix,Life at special affect tax.,normal
2791.59,Amazon,Always next condition expert.,fraudulent
165.18,Amazon,Without mind high worker range source lose.,normal
148.99,Shell,Down note organization effort social.,normal
95.47,Netflix,Peace both money something.,normal
288.3,Walmart,Officer Republican simple office floor without there board.,groceries
414.25,Walmart,American local anyone weight on yard power card.,normal
210.41,LocalMarket,Serve road visit themselves federal member.,normal
44.54,Starbucks,Wall color success admit.,entertainment
140.67,Netflix,Serious back night enter.,entertainment
277.27,Amazon,Day home among without in cell.,normal
184.72,LocalMarket,Couple computer serve study study.,groceries
493.46,Amazon,Keep number end because medical.,normal
140.45,Netflix,Seven fund thought scientist past capital pick.,entertainment
114.94,Amazon,Need language yes former now.,normal
111.85,Walmart,Table reveal deep past.,groceries
305.85,Shell,Hard first miss right the then sense.,normal
123.76,InsuranceCo,Morning daughter space research.,utilities
33.91,Starbucks,These bring policy.,entertainment
47.65,Walmart,Article stop them instead recognize significant.,groceries
83.76,Walmart,Under action others power Congress particular.,groceries
519.85,InsuranceCo,However rate might edge someone.,normal
619.8,Netflix,Set bill second century.,normal
352.53,InsuranceCo,Business address yard imagine subject development.,utilities
189.95,Netflix,Sure performance rock speak everyone assume.,entertainment
304.42,Amazon,Nearly various paper.,normal
619.69,LocalMarket,South allow green kitchen.,normal
133.67,Walmart,Character room fear share address in number out.,normal
227.41,InsuranceCo,Right appear director model.,utilities
307.13,InsuranceCo,Language color physical machine power surface.,utilities
322.28,InsuranceCo,Degree then air floor husband at.,normal
93.03,Starbucks,Mean police type brother agree.,entertainment
667.96,LocalMarket,Blue strong message paper year choice.,normal
109.94,Shell,Activity these whose child prepare ever.,normal
183.94,Shell,Scene tree attention finish.,utilities
91.62,Starbucks,West do majority show ability million southern.,entertainment
90.94,InsuranceCo,Bit may including care life how knowledge develop.,normal
351.79,Shell,Current worker to should bed admit friend ahead.,utilities
584.38,InsuranceCo,Tree stand owner near the.,normal
345.62,Shell,Outside lose something street hit quality head.,normal
53.39,LocalMarket,Somebody business investment very central article.,groceries
188.13,Starbucks,Meet occur tax produce report.,normal
94.16,Walmart,Similar daughter daughter report specific.,groceries
230.34,LocalMarket,Foot design organization building.,normal
685.28,Amazon,Bar cup thank structure draw road.,normal
369.0,Shell,Glass serve enter other room seem full with.,normal
2624.6,InsuranceCo,Old board message among time door.,fraudulent
266.48,LocalMarket,Rise decade effort rule popular myself.,groceries
442.21,Amazon,Present partner concern camera daughter together.,normal
58.35,Walmart,Raise hold night its technology address easy.,normal
2359.41,InsuranceCo,Address including music make.,fraudulent
159.19,Starbucks,Human once professor situation.,entertainment
639.49,LocalMarket,Hand ready occur fall area.,normal
667.52,Walmart,Book fill community federal news box do.,normal
346.39,Walmart,Fine race without particular drop theory anything.,normal
178.28,Walmart,Language accept after study point meeting physical.,normal
31.96,Walmart,Instead become ok sit success popular improve.,groceries
587.66,InsuranceCo,Stop kitchen mouth magazine war.,normal
97.34,Shell,Interesting particularly animal gas opportunity account.,normal
516.62,Shell,Participant school theory.,normal
605.09,Shell,Wonder beat especially admit throw president within.,normal
151.55,Walmart,Television talk most two billion left security.,groceries
782.44,InsuranceCo,Red author challenge plant.,normal
731.39,Starbucks,Table report single level.,normal
160.79,Walmart,Age important set.,groceries
114.34,LocalMarket,Job blood teacher air a result.,groceries
304.36,Starbucks,That try level leg.,normal
303.66,Starbucks,Begin fine chance force source pretty life.,normal
794.97,Shell,That paper case million serious.,normal
205.49,Starbucks,Between painting just single reveal college laugh face.,normal
102.07,LocalMarket,Including hundred player relationship indicate development.,groceries
524.0,Netflix,Many building newspaper.,normal
720.83,Starbucks,Yes they far five capital.,normal
718.65,InsuranceCo,Stock it agreement American glass specific.,normal
568.91,Shell,Nation help despite.,normal
99.46,Starbucks,Peace TV when face drug increase happen.,entertainment
311.25,Shell,Artist myself myself work road federal rise late.,utilities
587.09,Amazon,Hold else ever sea indeed key.,normal
45.94,Netflix,Rock late mission community production.,entertainment
130.68,Amazon,Cultural hair have me relationship field.,normal
268.53,InsuranceCo,Mention weight find woman consider senior.,utilities
75.58,Shell,Amount firm manage.,normal
230.53,LocalMarket,Kid campaign until during draw third.,groceries
56.97,Walmart,Key one operation sell choose hit.,normal
473.16,InsuranceCo,Space fear near charge detail.,utilities
297.19,LocalMarket,Tv single little yet federal food.,groceries
75.05,Walmart,Term risk job great teach woman new.,groceries
740.9,Shell,Various feel partner.,normal
422.68,InsuranceCo,Offer animal third foreign employee.,normal
1794.72,Amazon,Worker kitchen whose upon over under company.,fraudulent
349.79,Shell,Over work perhaps might especially everyone be.,normal
373.22,Shell,Hotel whose simply become skill.,normal
470.27,Walmart,Well news professor our former tend.,normal
38.07,Amazon,Already score tonight citizen among chance radio.,normal
213.56,InsuranceCo,Physical foot area thank.,utilities
98.91,Walmart,Very too seek.,groceries
588.38,Starbucks,Tv provide top fall even.,normal
259.93,Starbucks,Here quality laugh support any that.,normal
227.22,Walmart,Economy he health page increase.,normal
450.38,Shell,Hot image history economic serious.,utilities
44.68,LocalMarket,Late account knowledge green reveal bad.,groceries
490.04,Walmart,Save meet now watch whom detail.,normal
173.95,Walmart,Factor something form woman big serious know defense.,groceries
509.51,Walmart,Media look south recognize improve hard us.,normal
1772.49,InsuranceCo,Begin level as.,fraudulent
495.8,Amazon,Everybody sing but government us across wind goal.,normal
292.67,Shell,Institution modern listen agree while.,utilities
732.75,Starbucks,Without later degree far daughter where.,normal
329.34,Shell,Keep system well present again back.,normal
79.79,Walmart,Health center we former party.,groceries
378.75,Walmart,Themselves never their.,normal
249.18,Starbucks,Laugh music hit join.,normal
2843.08,InsuranceCo,Learn before serious.,fraudulent
519.41,InsuranceCo,Product quickly prevent traditional.,normal
20.83,InsuranceCo,Also likely you suddenly cause ahead list.,normal
151.69,Starbucks,Relationship list computer later head answer.,entertainment
543.76,Netflix,Second report up open almost.,normal
320.04,LocalMarket,Blue environmental provide finish ready yet room half.,normal
31.59,Shell,Discuss home movement spring.,normal
209.72,InsuranceCo,Drug ground seem find.,normal
291.25,Amazon,Under box student tell remain nation.,normal
425.22,InsuranceCo,Sell law middle board.,utilities
63.93,Starbucks,Store every course young southern tree.,entertainment
159.23,Starbucks,Would not sister number upon.,entertainment
51.44,Amazon,Early particularly billion trade question father.,normal
136.08,InsuranceCo,Central they before someone campaign step.,normal
241.38,LocalMarket,Whom contain chance thus around.,groceries
2259.44,Amazon,Rich break tree while call movie.,fraudulent
463.47,Shell,Protect difference focus give technology series because receive.,normal
119.62,Walmart,Carry however again above although early business.,normal
421.62,LocalMarket,On whatever inside particular.,normal
123.18,Netflix,Back from me ready race.,entertainment
569.5,InsuranceCo,Woman recently yourself.,normal
58.77,Netflix,Hotel though lead gun I.,entertainment
382.57,Shell,Show along turn health.,normal
124.91,LocalMarket,Trade administration material city.,groceries
60.11,Starbucks,Bring west experience also seem risk.,entertainment
67.06,Walmart,Raise send class summer air foot care.,normal
123.09,Starbucks,Old low writer their.,entertainment
309.34,Starbucks,Statement natural ahead response.,normal
472.54,Walmart,Teach thank impact its son must.,normal
341.99,Shell,Maybe quality treatment PM father itself fish.,utilities
1.57,Walmart,Role relate hospital around might machine.,normal
316.3,InsuranceCo,Peace wonder back institution.,normal
102.33,Netflix,Find staff of letter campaign provide which peace.,normal
1598.71,Amazon,Bar success actually create those.,fraudulent
765.14,Shell,Phone second himself represent two evening.,normal
552.19,Netflix,Hundred avoid test paper under.,normal
366.05,InsuranceCo,Expect one front consumer.,utilities
448.0,Walmart,Take none message all learn window however.,normal
610.39,Netflix,Pm garden bank lay dinner type should.,normal
602.37,Starbucks,Respond apply owner action group must green.,normal
777.56,Netflix,South food floor security.,normal
55.06,Netflix,Course another nor a moment evening laugh.,entertainment
1007.6,Amazon,Position nation floor movement run standard.,fraudulent
532.57,Walmart,While tough local able edge through.,normal
138.37,Walmart,Because majority firm exist school.,groceries
560.83,Amazon,Tend cut soon artist.,normal
426.42,Shell,Great remain trip evening.,utilities
97.9,Walmart,Air day believe share account each.,groceries
217.56,Starbucks,Speech stock floor speak professional.,normal
1776.05,InsuranceCo,Fish mind performance difficult full.,fraudulent
729.99,Walmart,Now just once rule eight sport everything service.,normal
753.22,InsuranceCo,Wind enter rate market learn agreement house reflect.,normal
658.86,Starbucks,Kitchen floor control draw send attention.,normal
77.29,Walmart,Woman cold point remember answer.,groceries
487.6,Starbucks,Truth record military relate low country simply.,normal
723.13,Shell,Identify card together purpose look standard rise military.,normal
704.69,InsuranceCo,Page really senior remain dog light my side.,normal
61.32,Netflix,And person trouble local plant paper sort.,normal
56.3,Shell,By win almost under public investment stay.,utilities
194.19,InsuranceCo,Break two detail material alone.,normal
25.22,Starbucks,Picture card great draw central son above.,entertainment
365.6,Amazon,Morning third movement interview population pressure street.,normal
799.02,Amazon,Yet father month sometimes write analysis.,normal
1750.08,InsuranceCo,Million difference town first knowledge.,fraudulent
474.08,Shell,Summer its as seven little.,normal
778.16,InsuranceCo,Threat something story information little.,normal
58.22,Starbucks,Interesting idea police every lot peace doctor.,entertainment
686.38,LocalMarket,Rule push remain fall according inside.,normal
792.61,Starbucks,Final together win image method.,normal
464.75,Shell,Indeed research next particularly tell air.,normal
677.11,Shell,End serve book hundred.,normal
170.65,Amazon,Drop car Mr drive heavy machine.,normal
665.86,InsuranceCo,Ground student TV accept order away.,normal
93.34,Shell,Matter probably reflect play.,normal
67.35,Shell,Meeting travel list keep strong total especially best.,utilities
534.57,LocalMarket,Blood window might least region order likely traditional.,normal
122.56,Netflix,Girl voice these develop seven heavy.,entertainment
62.59,Shell,Score camera hard represent place reason ability.,normal
492.64,InsuranceCo,Season reality indicate under nothing say.,utilities
517.21,Shell,Compare its head consumer senior with.,normal
108.68,Walmart,Project would chance well give specific record.,groceries
70.88,Walmart,Free term too red.,groceries
638.84,Netflix,Cell blue include international.,normal
1125.58,Amazon,Half deal event similar.,fraudulent
142.69,Netflix,Recently performance notice traditional.,entertainment
485.91,Netflix,Series determine care bring firm provide scene.,normal
713.55,Amazon,Activity focus small cut save.,normal
2856.13,Amazon,Energy dark small movement identify sister.,fraudulent
378.92,Netflix,East beyond participant mother out whom imagine but.,normal
249.65,Walmart,Special cold could push together surface fine.,groceries
159.43,Shell,Reason together when.,utilities
114.46,LocalMarket,Case instead around practice face PM.,normal
367.71,Shell,Deep for look cost.,utilities
2072.43,Amazon,Lot cold factor organization.,fraudulent
218.32,Shell,Scientist wall them morning quality whose shake.,utilities
131.18,Shell,Agent its raise role head federal according we.,utilities
215.31,InsuranceCo,Group off behind Democrat.,utilities
700.67,Walmart,Support edge door.,normal
689.09,Walmart,Realize your ever action night.,normal
161.25,Walmart,Maintain book around side tell simple difficult class.,normal
792.07,LocalMarket,Participant sea summer finally.,normal
79.86,Walmart,School whether eight under.,normal
419.24,InsuranceCo,Rich hand town me purpose job bed.,normal
229.16,Amazon,During main pressure wind so participant.,normal
40.34,Netflix,Various month tell conference degree attention western.,entertainment
1338.62,InsuranceCo,Quality prepare them morning computer whatever late.,fraudulent
58.54,Starbucks,Economic high actually short show.,entertainment
76.13,Starbucks,Positive understand eat word among.,normal
773.17,Shell,Company investment investment anyone fine adult keep.,normal
723.23,Walmart,Worry thus movement ever.,normal
253.46,Starbucks,Affect likely age other.,normal
91.88,InsuranceCo,Test through more serve push somebody song tend.,normal
363.96,Shell,Sell whom war standard pass article method.,utilities
23.07,LocalMarket,Realize condition tell traditional.,groceries
93.49,Shell,During trouble understand push surface themselves red war.,utilities
101.29,Starbucks,Employee attorney house increase operation play.,entertainment
355.14,InsuranceCo,Exactly life career must.,utilities
281.86,Shell,Green explain seven wear these left.,normal
181.63,LocalMarket,Many certainly TV conference chair add group level.,groceries
37.51,Walmart,Radio letter popular southern wrong accept.,groceries
179.62,Starbucks,Nearly subject phone boy.,entertainment
646.15,Shell,Serve result back.,normal
2611.03,InsuranceCo,Impact rich process.,fraudulent
172.1,Amazon,Trip country politics growth hundred.,normal
148.14,LocalMarket,Step why many look knowledge information spend.,groceries
761.35,Netflix,Live against simply.,normal
402.37,Netflix,Century point bring west.,normal
68.5,Netflix,Now trouble view new.,entertainment
141.7,Shell,Often best size low toward.,normal
60.84,Starbucks,Meet serious particular social system put state.,normal
99.36,Walmart,Cell argue describe capital manager put use.,groceries
455.1,Netflix,Idea reason find mother sort.,normal
516.0,Walmart,Around worker certain industry budget factor authority.,normal
364.81,LocalMarket,Our staff wait while race.,normal
92.37,Netflix,Thank their design main.,normal
659.11,Amazon,Middle necessary east side because issue.,normal
91.21,Netflix,Hundred science occur safe.,entertainment
626.19,Starbucks,Return home business these worry near not yard.,normal
178.19,InsuranceCo,Modern toward south discuss have program.,normal
276.7,LocalMarket,Window scientist start cold area president.,normal
47.71,Walmart,Personal west region those.,groceries
87.5,Netflix,Daughter both total before item network PM.,normal
27.41,Walmart,Race cover fear other cut kitchen.,groceries
215.41,LocalMarket,Sure glass despite station Mrs another again teacher.,groceries
712.21,Walmart,Heart TV right record.,normal
322.06,Shell,Tell dark remain rule.,normal
1279.91,Amazon,Property follow clear produce stage involve experience.,fraudulent
243.53,Amazon,Society free system certainly glass rich another.,normal
354.96,InsuranceCo,Hospital exist situation occur.,normal
77.48,Netflix,Deal player traditional high.,normal
123.13,Walmart,Situation dinner reason available factor.,normal
299.59,Netflix,President something red seek purpose.,normal
117.73,LocalMarket,Effort compare short choose article.,groceries
2047.94,Amazon,Able eat out American official fill.,fraudulent
10.06,Walmart,Everybody author appear two notice.,normal
368.62,Starbucks,Hair source important growth read truth.,normal
145.02,Shell,Later section threat part note shake.,normal
20.38,Starbucks,Popular week bag raise wrong.,normal
223.61,LocalMarket,Question movie doctor young stand activity product.,groceries
456.95,LocalMarket,Back exactly religious magazine lead ball beyond.,normal
214.83,Starbucks,Alone month office.,normal
363.34,LocalMarket,Thought doctor another table international cell join thousand.,normal
586.27,Netflix,Care yard bar indicate bad political.,normal
186.44,Netflix,Source win people store ability create work.,entertainment
442.51,Shell,Kitchen high computer require central tree player especially.,normal
592.6,Amazon,Senior happy build may box.,normal
170.58,LocalMarket,Draw thank evidence fly.,groceries
56.07,Walmart,Should gas eye hour.,groceries
182.29,Walmart,Range fly child including beautiful.,groceries
258.64,Netflix,Somebody computer discuss within attention heavy.,normal
506.21,Shell,Skin sort force science sort.,normal
166.88,Starbucks,Each class approach sure few source speech born.,normal
758.69,InsuranceCo,Scientist movie Congress none between theory popular.,normal
225.79,InsuranceCo,There sort whom culture mother system many.,normal
155.24,Netflix,By political part market cold scene thank.,entertainment
270.25,LocalMarket,Lot risk term find keep black commercial.,normal
168.81,LocalMarket,Leader foot near according.,groceries
264.03,Starbucks,Region rich get summer everyone no.,normal
471.51,Shell,Statement better job southern four.,normal
551.12,Starbucks,Bag think act idea important grow senior need.,normal
205.22,Amazon,Within them everything upon land term low.,normal
24.1,Walmart,Resource foreign analysis game moment.,normal
2794.47,InsuranceCo,Prevent he respond sing big.,fraudulent
198.67,Amazon,Chair table bag tree effect affect.,normal
209.4,InsuranceCo,Heavy yes three simply.,utilities
670.04,LocalMarket,She issue character pressure most.,normal
283.34,InsuranceCo,Recent about there although.,normal
155.27,Starbucks,Politics fire any.,entertainment
143.23,LocalMarket,Reason itself go consumer voice television.,groceries
155.86,Amazon,Popular peace make marriage civil thousand.,normal
192.86,Amazon,Side figure industry easy firm.,normal
93.53,Netflix,Stock high cost claim entire.,entertainment
645.58,LocalMarket,World car community mean decision.,normal
369.68,LocalMarket,But work Republican.,normal
89.16,Walmart,Many meet without treat.,groceries
426.61,Walmart,Beyond special often everybody knowledge million war.,normal
289.39,Shell,Recently myself few thousand happen him.,utilities
67.57,Walmart,Her guy type catch by.,groceries
504.14,Starbucks,Sense consider hour image question.,normal
99.95,InsuranceCo,Evidence rock rock executive effort she mention language.,utilities
114.11,Walmart,It whether father.,groceries
563.88,Netflix,Open dark spring believe everything lose.,normal
254.65,Walmart,Student occur job stock ability.,normal
463.35,LocalMarket,Program ask agency hold those suggest or.,normal
198.7,LocalMarket,Stay but clear seven.,normal
718.05,Shell,Truth television majority language red say conference.,normal
194.21,Starbucks,Red law evening all apply election training green.,entertainment
165.18,Netflix,Right worker customer suggest.,normal
1800.33,Amazon,Spend north full always rest.,fraudulent
1385.03,Amazon,Your admit financial anyone eight.,fraudulent
1671.09,InsuranceCo,Laugh half by understand personal.,fraudulent
345.7,Walmart,Eye certainly home else like.,normal
248.78,Amazon,One night anything help.,normal
582.56,InsuranceCo,Second make election truth.,normal
748.19,InsuranceCo,Wife success relationship staff.,normal
195.71,InsuranceCo,Official some leg sister war chair.,utilities
599.35,Walmart,Site moment many sound form.,normal
627.06,LocalMarket,Work product soon.,normal
159.09,LocalMarket,One matter bank apply purpose.,normal
362.18,InsuranceCo,Report create stay paper guy hundred.,normal
295.9,Walmart,Either through nor again animal.,groceries
186.58,LocalMarket,College item last rule term affect.,groceries
171.03,Netflix,Interesting another black anyone value discover.,entertainment
181.39,Netflix,Executive wide author gas.,entertainment
276.59,Shell,And build like same newspaper never.,normal
539.41,Netflix,Lay artist treat cost attorney actually mother.,normal
434.27,Netflix,Quickly interest degree reveal bill beautiful.,normal
210.78,Walmart,Term how wall behavior like ago.,groceries
547.28,Amazon,Development community happen industry site season music.,normal
244.25,LocalMarket,Single buy plant hear.,normal
433.44,Shell,Third sort chair.,normal
130.44,LocalMarket,Ago understand class husband design only.,normal
97.22,Netflix,Something fine something wife yeah.,entertainment
305.44,Shell,Analysis forward nature than.,utilities
187.82,LocalMarket,Rate that myself skill.,groceries
443.59,Amazon,Form measure himself discussion million.,normal
657.15,Netflix,Represent get prove over more.,normal
23.66,Netflix,Physical send student part east choose.,entertainment
51.94,LocalMarket,Fill sense capital soon difference type.,groceries
55.23,Starbucks,Hard yard water indicate meeting instead later.,entertainment
1901.95,InsuranceCo,Never region certain always sister scientist.,fraudulent
615.72,Starbucks,But government increase light direction.,normal
253.12,LocalMarket,Nature anything player democratic glass stock.,groceries
157.81,Netflix,Seat quite gas.,entertainment
327.18,Netflix,Under spring right perform.,normal
544.65,Amazon,Group order act say enough.,normal
526.39,Starbucks,Door well husband before prepare car rock.,normal
766.85,Netflix,Loss throughout laugh financial.,normal
146.8,LocalMarket,Guy yard water peace structure rock.,groceries
468.83,LocalMarket,Subject then difficult.,normal
164.68,LocalMarket,Cut similar model fight animal local.,groceries
123.88,Netflix,Happen want career appear once.,entertainment
660.72,Starbucks,Receive audience everybody word.,normal
1759.56,InsuranceCo,Audience theory south red.,fraudulent
91.59,Shell,Total company just yourself research part.,utilities
133.97,Amazon,Wrong myself must what later join.,normal
340.31,InsuranceCo,Off option opportunity phone turn.,normal
58.67,InsuranceCo,Billion his short least individual cell act now.,normal
106.13,Walmart,Plan center make generation teacher reach.,groceries
486.52,Shell,Most through get.,normal
133.11,LocalMarket,Write true stage my.,groceries
210.7,InsuranceCo,Skin investment tree cover.,normal
654.14,Shell,Stand full deep letter matter drop.,normal
195.21,Shell,Fire company source road land politics produce work.,normal
301.81,Walmart,Change effect culture national both.,normal
254.38,LocalMarket,Bill player number century.,groceries
764.69,Starbucks,Guess fish continue son.,normal
263.73,InsuranceCo,West stock increase leader particular agreement experience.,normal
625.66,Walmart,Environmental interview camera.,normal
251.73,Shell,Memory add indeed democratic sort.,utilities
406.25,Amazon,Create attention so air.,normal
106.26,InsuranceCo,Administration position them again situation.,utilities
373.91,InsuranceCo,Who account room certain stop bring throughout.,normal
600.44,Walmart,Scene his everybody major likely civil.,normal
187.3,Starbucks,Drug fly loss bit concern among fish.,entertainment
470.56,Shell,Song focus value issue attention record stock.,utilities
464.03,Starbucks,Region forward toward work language bring.,normal
7.68,Netflix,Statement today team professor industry own analysis.,normal
54.79,Netflix,Imagine lay scene its.,entertainment
493.31,Amazon,Professional nation add our direction catch.,normal
103.49,LocalMarket,Hotel condition ok choice anything upon.,groceries
232.69,Shell,Speak strategy by number game.,normal
318.76,Amazon,Summer ever society brother billion find focus another.,normal
96.86,Netflix,Thank media top month do.,entertainment
82.17,LocalMarket,Crime theory church significant goal.,groceries
170.39,Starbucks,Forget rate administration whom product again before organization.,normal
688.66,Starbucks,Doctor building arm network quality race.,normal
1.82,LocalMarket,Message four seem citizen.,normal
773.4,Starbucks,Any government actually some wife bag.,normal
707.27,InsuranceCo,Party personal understand finally remain.,normal
75.03,Netflix,Pattern dinner produce budget where face arm.,normal
207.95,Starbucks,Natural star character consumer tax.,normal
277.7,InsuranceCo,Against fine fill firm action somebody letter.,utilities
293.02,LocalMarket,Large occur each.,normal
26.41,Starbucks,Work easy fill any institution.,entertainment
83.13,Netflix,Outside quality prevent see especially church perhaps back.,entertainment
435.84,Amazon,Charge visit cause.,normal
260.09,Starbucks,Mean blue phone area senior.,normal
785.4,Amazon,Cup back TV thousand analysis here usually.,normal
236.89,InsuranceCo,Security some that education director technology significant should.,normal
754.16,Netflix,Environment care court material hit buy.,normal
446.43,InsuranceCo,Property business unit student action difficult.,normal
82.56,Netflix,During arrive physical budget culture now federal tree.,entertainment
105.0,LocalMarket,In energy under single prevent see process behavior.,groceries
84.24,Netflix,Police mother eye commercial too teach mother.,normal
557.91,Walmart,Account total say positive lot at theory.,normal
36.93,Netflix,President answer song thing degree before.,entertainment
497.15,Starbucks,American character recognize color.,normal
306.23,Shell,Ever bar such building author green hair.,utilities
20.92,Shell,Mention reason dark between.,normal
604.48,Netflix,Radio present play purpose.,normal
129.63,LocalMarket,Price community fill sign too spring picture.,groceries
246.67,Shell,Nation future phone evening southern visit.,normal
60.41,InsuranceCo,Of reveal law few prove.,utilities
121.59,Amazon,Specific information guy.,normal
530.63,Amazon,Concern main recent tend sound year body beyond.,normal
441.67,Amazon,Whom few audience concern send.,normal
110.2,Walmart,Consider sit me newspaper get level fill.,groceries
180.33,Starbucks,Attorney cause major lead contain career.,entertainment
57.32,Netflix,Foreign fill out kid him up part.,entertainment
640.28,Shell,Despite rich option.,normal
120.86,Walmart,Firm food perhaps fear avoid Democrat understand.,groceries
566.32,Walmart,Wear level land standard.,normal
269.89,Walmart,Direction threat crime billion tax rest.,groceries
390.92,Starbucks,Environmental research also put.,normal
112.98,Walmart,Probably news second population stop.,groceries
528.15,InsuranceCo,Painting experience two share school wife base fine.,normal
171.24,Starbucks,Treat someone one statement your travel.,entertainment
69.67,Netflix,Others collection study sing suffer party.,normal
160.47,InsuranceCo,Around miss if dog hospital vote international.,normal
721.13,Shell,Body major along hundred risk.,normal
224.16,LocalMarket,Fund stuff from low push join different.,groceries
672.5,Amazon,Safe perform morning risk space institution.,normal
110.17,InsuranceCo,Politics manage include use popular.,normal
71.61,Walmart,Our situation strong term.,groceries
79.42,Netflix,Growth before sit amount yard.,entertainment
24.16,Walmart,Health clear any interesting say.,groceries
162.17,Amazon,Method avoid role others article program drug.,normal
109.23,Netflix,Give break suggest near contain walk.,normal
54.65,Netflix,Exactly training candidate that.,entertainment
27.09,InsuranceCo,Factor authority per movement major movie exactly before.,normal
496.04,Amazon,Exactly beautiful small street hope.,normal
465.09,Amazon,Force huge often despite rock per.,normal
2679.18,InsuranceCo,Capital fill party police hold.,fraudulent
86.82,Netflix,And PM song long.,entertainment
614.13,Walmart,Behind quality pass kind trade.,normal
519.97,Walmart,Term American capital run.,normal
172.73,Shell,Life parent attorney staff.,normal
451.82,Netflix,Respond Republican interest PM.,normal
573.27,Starbucks,Member near purpose public.,normal
47.49,Starbucks,Win nothing do board station report.,normal
131.27,Walmart,Pressure near threat three use chair.,groceries
37.43,Amazon,Fly break major land TV recently return.,normal
146.61,Walmart,Lawyer create policy to strategy.,normal
292.53,LocalMarket,Remember like hand policy good report sound.,groceries
173.24,Netflix,Nothing today interesting rise beat political little.,normal
169.57,LocalMarket,Young democratic PM decide project.,groceries
290.22,Netflix,Growth whom site.,normal
484.54,InsuranceCo,Especially trip economic.,utilities
258.79,LocalMarket,Bank soon two perhaps wonder.,normal
439.19,InsuranceCo,By pay since far under much.,utilities
30.47,Walmart,Character course program represent personal.,groceries
406.99,InsuranceCo,Decade mention program.,normal
359.48,LocalMarket,Black my member according hand play charge.,normal
178.72,InsuranceCo,Heavy central up sometimes message common ready hundred.,utilities
347.42,Starbucks,Identify far wear play order.,normal
71.51,Shell,Especially outside religious.,utilities
249.85,LocalMarket,Series explain two media when.,normal
779.53,Amazon,Language should available after machine necessary might.,normal
661.89,LocalMarket,Claim stay dream impact.,normal
230.38,Amazon,Evening detail message probably term near.,normal
156.03,Starbucks,Painting these wait mention more.,normal
323.31,Netflix,Finally its performance wonder I.,normal
146.46,Walmart,Drug market hard yet.,groceries
52.53,Starbucks,Idea sense issue animal why suggest gun.,normal
75.19,Walmart,Week determine theory first cover clear similar.,normal
225.54,Amazon,Four growth sort hold fish thing meeting.,normal
124.14,Netflix,Seek ability in require inside.,entertainment
420.68,InsuranceCo,Tend case campaign social hear believe chance protect.,normal
408.33,LocalMarket,Return authority accept spend.,normal
111.8,InsuranceCo,Itself under fear something manager responsibility prepare.,utilities
292.01,Walmart,Support many common thought.,groceries
111.11,Netflix,Employee card office huge little.,normal
5.39,Walmart,Road capital red bank decision upon leg.,normal
446.19,Shell,Page natural reach difficult response.,normal
204.86,Walmart,Material war system church.,groceries
792.25,Starbucks,Enough edge hand.,normal
368.6,Walmart,Brother across develop positive most.,normal
705.39,InsuranceCo,Mother bar point believe.,normal
756.46,Walmart,Prevent Mr after.,normal
318.61,Walmart,Federal ball collection know.,normal
586.16,InsuranceCo,Color meeting force popular probably involve.,normal
163.37,Starbucks,Buy rule with produce attack.,entertainment
525.49,Netflix,Environmental executive just effort.,normal
45.25,Walmart,System family by model senior least firm.,groceries
237.65,InsuranceCo,Act five professional final force memory little.,normal
219.59,Walmart,No work clearly example receive sell administration.,normal
494.72,Walmart,These population store right hotel same.,normal
173.22,Shell,Campaign together force.,utilities
362.44,LocalMarket,Sign fly we talk would also.,normal
130.7,Starbucks,Story follow nation even nature old manage.,entertainment
206.12,LocalMarket,Talk indeed such price open stand.,groceries
300.5,InsuranceCo,Collection person require nice artist movement go.,normal
61.74,Starbucks,Sit argue effect dark course.,entertainment
599.66,Amazon,Performance call hear defense image.,normal
476.02,Shell,Speech dream lot throw girl.,utilities
79.86,Netflix,Out foreign compare woman.,entertainment
198.97,Starbucks,Tonight cultural among check.,entertainment
762.58,LocalMarket,Firm fill worker image kitchen culture wish.,normal
8.55,Amazon,Matter bed line candidate red mouth tonight.,normal
403.57,Starbucks,Century surface condition compare what cold teach.,normal
139.59,Walmart,Any last power.,normal
795.87,Starbucks,Military remember amount well through ten.,normal
272.9,Shell,Administration consider Mr short set green go.,normal
245.81,Shell,Exist officer process sort during suggest.,normal
188.78,LocalMarket,Society around so believe old.,groceries
450.4,Walmart,Fly attack American light court few.,normal
94.38,Starbucks,We environmental middle situation case beat trouble whatever.,normal
116.05,LocalMarket,Seek pressure challenge a.,groceries
99.05,Netflix,Send suffer long.,entertainment
219.38,Walmart,Trouble yourself recognize step learn respond movement.,groceries
174.54,LocalMarket,Collection degree thank debate local.,groceries
20.0,Starbucks,From suddenly you admit study girl hear.,normal
85.99,LocalMarket,Business cell argue foreign.,groceries
95.11,Walmart,Strong fact any explain various raise.,normal
127.28,Walmart,Far for executive large pick.,normal
109.23,LocalMarket,Range tough best toward.,groceries
349.89,InsuranceCo,Myself price describe few audience perform very either.,normal
23.28,Walmart,Court remain check always bring.,normal
302.42,Shell,Idea building partner song.,utilities
707.32,Shell,Office to feel century style possible.,normal
149.27,Walmart,Campaign beautiful save performance respond leg.,groceries
156.25,InsuranceCo,Best either budget heart.,utilities
241.89,Amazon,Show type loss.,normal
338.47,Netflix,Even fire quality old.,normal
56.78,Netflix,Physical Republican country.,normal
